STATURE,BMI,MASS,HEAD_CIRC
1763,26.1,81.2,586
1650,24.1,65.6,570
1654,29.2,80.0,557
1726,23.8,70.8,542
1843,26.2,89.1,569
1858,24.6,84.9,581
1705,26.1,75.8,571
1760,26.2,81.3,579
1782,24.6,78.0,571
1727,24.4,72.7,558
1713,28.4,83.2,584
1714,36.1,106.1,570
1668,22.9,63.6,551
1814,26.6,87.7,559
1612,20.4,53.0,550
1793,21.8,70.1,549
1762,27.2,84.5,564
1860,19.4,67.1,539
1741,27.1,82.1,549
1672,23.7,66.4,552
1800,27.8,90.0,587
1703,32.3,93.7,570
1773,26.9,84.6,572
1772,28.4,89.3,556
1835,26.0,87.7,584
1687,30.8,87.6,551
1765,28.0,87.3,558
1684,20.6,58.5,573
1742,24.6,74.7,576
1584,24.4,61.2,535
1805,21.7,70.6,546
1727,30.8,91.7,570
1743,24.3,73.7,561
1743,25.4,77.2,557
1726,24.8,74.0,577
1708,22.2,64.8,580
1783,27.4,87.3,560
1795,27.2,87.8,560
1827,26.4,88.1,567
1725,22.0,65.4,541
1805,21.9,71.4,557
1781,24.0,76.2,549
1641,27.4,73.8,558
1803,31.6,102.6,571
1754,26.9,82.8,565
1708,32.3,94.2,573
1928,26.2,97.2,568
1724,25.9,76.9,549
1811,31.6,103.7,568
1745,24.9,75.7,569
1732,20.7,62.2,557
1753,31.7,97.4,574
1795,26.9,86.6,597
1771,27.5,86.1,589
1717,21.6,63.7,566
1639,24.7,66.4,549
1686,27.4,78.0,571
1770,20.9,65.4,563
1813,29.9,98.2,562
1818,29.3,96.7,565
1934,28.8,107.8,576
1782,23.3,73.9,579
1698,23.3,67.2,549
1812,20.8,68.3,560
1625,30.1,79.5,577
1745,27.1,82.6,562
1789,26.4,84.6,560
1715,20.7,60.9,563
1686,24.5,69.6,561
1640,26.1,70.1,552
1685,26.7,75.8,561
1729,21.1,63.1,570
1615,25.7,67.1,576
1718,19.9,58.6,553
1776,27.7,87.5,564
1821,22.3,73.9,552
1740,27.4,83.0,543
1777,23.1,72.9,552
1778,27.6,87.3,558
1698,26.5,76.3,543
1831,21.3,71.5,556
1826,29.0,96.6,586
1628,27.8,73.6,575
1712,25.1,73.6,578
1794,28.8,92.7,574
1721,29.8,88.4,573
1797,26.2,84.5,580
1748,24.2,74.0,558
1785,20.9,66.5,559
1686,23.4,66.6,548
1807,29.3,95.7,557
1668,28.2,78.6,557
1829,23.7,79.4,586
1829,24.8,82.9,592
1625,26.9,71.0,549
1704,28.1,81.6,571
1740,29.3,88.7,588
1731,25.1,75.2,566
1761,25.4,78.9,569
1762,28.0,87.1,551
1713,24.8,72.7,574
1845,21.8,74.3,579
1793,23.4,75.2,593
1695,23.6,67.8,525
1733,26.5,79.7,576
1802,26.4,85.6,572
1727,27.8,82.9,562
1777,24.3,76.7,574
1667,26.8,74.5,585
1838,22.8,77.1,579
1682,28.5,80.5,570
1844,25.4,86.5,568
1748,28.0,85.4,576
1732,27.1,81.2,574
1733,24.5,73.5,571
1665,29.9,82.8,558
1843,20.9,71.0,579
1762,24.7,76.6,541
1800,31.9,103.4,581
1725,23.0,68.5,570
1807,27.1,88.4,570
1880,29.2,103.3,589
1853,19.4,66.5,541
1690,26.3,75.2,543
1823,20.4,67.8,566
1628,24.0,63.6,545
1755,23.7,73.0,580
1856,27.7,95.3,597
1814,26.6,87.6,568
1767,22.3,69.6,565
1796,28.4,91.6,580
1846,32.7,111.5,607
1830,28.2,94.6,584
1728,24.4,72.9,573
1668,24.0,66.7,550
1705,26.8,78.0,556
1870,28.1,98.4,588
1619,29.9,78.5,560
1762,21.7,67.3,560
1711,23.3,68.3,557
1783,24.7,78.6,557
1783,23.9,76.0,567
1742,28.4,86.2,554
